forecast_method,type,recovery,wape_overall,wape_low_sale,wape_high_sale,harmonic_mean,scored_rows
lightgbm_forecast_feature_optimized_v3,top1 recovery,stl_real,0.2754,0.3423,0.2236,0.2721,198987.0
lightgbm_forecast_feature_optimized_v3,raw_sales,raw_sales,0.2879,0.3521,0.2383,0.2854,198987.0
lightgbm_forecast_feature_optimized_v4,top1 recovery,stl_real,0.2755,0.3419,0.2241,0.2723,198987.0
lightgbm_forecast_feature_optimized_v4,raw_sales,raw_sales,0.2886,0.3532,0.2387,0.2861,198987.0
lightgbm_forecast_feature_optimized_v6_feature_selection,top1 recovery,stl_real,0.2761,0.3426,0.2246,0.2729,198987.0
lightgbm_forecast_feature_optimized_v6_feature_selection,raw_sales,raw_sales,0.2882,0.3521,0.2388,0.2857,198987.0
lightgbm_forecast_feature_optimized_v5,top1 recovery,stl_real,0.276,0.342,0.225,0.273,198987.0
lightgbm_forecast_feature_optimized_v5,raw_sales,raw_sales,0.2887,0.3528,0.2392,0.2863,198987.0
lightgbm_forecast_feature_optimized,top1 recovery,stl_real,0.2766,0.3442,0.2243,0.2733,198987.0
lightgbm_forecast_feature_optimized,raw_sales,raw_sales,0.2904,0.355,0.2404,0.2879,198987.0
lightgbm_forecast_feature_optimized_v2,top1 recovery,stl_real,0.2766,0.3437,0.2247,0.2734,198987.0
lightgbm_forecast_feature_optimized_v2,raw_sales,raw_sales,0.2904,0.3549,0.2406,0.288,198987.0
lightgbm_forecast_optimized,top1 recovery,stl_real,0.278,0.3459,0.2255,0.2747,198987.0
lightgbm_forecast_optimized,raw_sales,raw_sales,0.2934,0.356,0.245,0.2913,198987.0
xgboost_forecast_feature_optimized,top1 recovery,stl_real,0.2793,0.3428,0.2301,0.2767,198987.0
xgboost_forecast_feature_optimized,raw_sales,raw_sales,0.2942,0.3527,0.249,0.2926,198987.0
hist_gradient_boosting_forecast_optimized,top1 recovery,stl_real,0.2794,0.3427,0.2305,0.2768,198987.0
hist_gradient_boosting_forecast_optimized,raw_sales,raw_sales,0.292,0.3523,0.2453,0.2901,198987.0
xgboost_forecast_feature_fast,top1 recovery,stl_real,0.2808,0.3476,0.2291,0.2777,198987.0
xgboost_forecast_feature_fast,raw_sales,raw_sales,0.2992,0.3586,0.2533,0.2977,198987.0
hist_gradient_boosting_forecast,top1 recovery,stl_real,0.2807,0.3442,0.2316,0.2781,198987.0
hist_gradient_boosting_forecast,raw_sales,raw_sales,0.2943,0.356,0.2466,0.2923,198987.0
lightgbm_forecast,top1 recovery,stl_real,0.2814,0.349,0.2292,0.2783,198987.0
lightgbm_forecast,raw_sales,raw_sales,0.2975,0.3614,0.2481,0.2953,198987.0
xgboost_forecast,top1 recovery,stl_real,0.2812,0.3455,0.2314,0.2785,198987.0
xgboost_forecast,raw_sales,raw_sales,0.2985,0.3571,0.2532,0.2971,198987.0
random_forest_forecast_feature_optimized,top1 recovery,stl_real,0.2842,0.3555,0.2291,0.2805,198987.0
random_forest_forecast_feature_optimized,raw_sales,raw_sales,0.3005,0.3627,0.2524,0.2986,198987.0
catboost_forecast,top1 recovery,stl_real,0.2834,0.3479,0.2335,0.2807,198987.0
catboost_forecast,raw_sales,raw_sales,0.3015,0.3599,0.2563,0.3001,198987.0
catboost_forecast_fast_numeric_v2,top1 recovery,stl_real,0.2841,0.3497,0.2335,0.2814,198987.0
catboost_forecast_fast_numeric_v2,raw_sales,raw_sales,0.3012,0.3613,0.2548,0.2996,198987.0
random_forest_forecast_optimized,top1 recovery,stl_real,0.2851,0.3557,0.2305,0.2815,198987.0
random_forest_forecast_optimized,raw_sales,raw_sales,0.3008,0.3627,0.2529,0.2989,198987.0
extra_trees_forecast,top1 recovery,stl_real,0.286,0.3605,0.2285,0.2818,198987.0
extra_trees_forecast,raw_sales,raw_sales,0.3038,0.3679,0.2542,0.3017,198987.0
random_forest_forecast,top1 recovery,stl_real,0.2879,0.3598,0.2323,0.2842,198987.0
random_forest_forecast,raw_sales,raw_sales,0.3044,0.3665,0.2565,0.3027,198987.0
lightgbm_forecast_feature_optimized_v7_recursive,top1 recovery,stl_real,0.2916,0.3518,0.2451,0.2898,198987.0
lightgbm_forecast_feature_optimized_v7_recursive,raw_sales,raw_sales,0.0,0.0,0.0,,198987.0
catboost_forecast_fast,top1 recovery,stl_real,0.2956,0.3607,0.2452,0.2932,198987.0
catboost_forecast_fast,raw_sales,raw_sales,0.3127,0.3691,0.2692,0.3118,198987.0
catboost_forecast_optimized,top1 recovery,stl_real,0.3008,0.3743,0.2439,0.2971,198987.0
catboost_forecast_optimized,raw_sales,raw_sales,0.3122,0.3731,0.2651,0.3107,198987.0
simple_exponential_smoothing,top1 recovery,stl_real,0.3181,0.3956,0.2582,0.3143,198987.0
simple_exponential_smoothing,raw_sales,raw_sales,0.338,0.407,0.2847,0.336,198987.0
single_exponential_smoothing,top1 recovery,stl_real,0.3209,0.3917,0.2661,0.3182,198987.0
single_exponential_smoothing,raw_sales,raw_sales,0.3407,0.4039,0.2917,0.3394,198987.0
lstm_forecast_fast,top1 recovery,stl_based,0.3248,0.3997,0.267,0.3217,198987.0
lstm_forecast_fast,raw_sales,raw_sales,0.3476,0.4092,0.3,0.3466,198987.0
lstm_forecast,top1 recovery,stl_real,0.3241,0.3893,0.2736,0.3223,198987.0
lstm_forecast,raw_sales,raw_sales,0.3438,0.4075,0.2945,0.3425,198987.0
cnn_forecast_original_3epochs,top1 recovery,rolling_mean,0.3291,0.4085,0.2677,0.3253,198987.0
cnn_forecast_original_3epochs,raw_sales,raw_sales,0.3404,0.4118,0.2852,0.3381,198987.0
single_exponential_smoothing_series,top1 recovery,stl_real,0.3285,0.3952,0.2768,0.3265,198987.0
single_exponential_smoothing_series,raw_sales,raw_sales,0.3488,0.4087,0.3025,0.3481,198987.0
double_exponential_smoothing,top1 recovery,stl_real,0.3329,0.419,0.2664,0.3281,198987.0
double_exponential_smoothing,raw_sales,raw_sales,0.3531,0.428,0.2951,0.3506,198987.0
cnn_forecast_fast,top1 recovery,stl_real,0.3313,0.4059,0.2735,0.3283,198987.0
cnn_forecast_fast,raw_sales,raw_sales,0.3499,0.417,0.298,0.3484,198987.0
cnn_forecast,top1 recovery,stl_real,0.3374,0.4014,0.2879,0.336,198987.0
cnn_forecast,raw_sales,raw_sales,0.3518,0.4135,0.304,0.3509,198987.0
triple_exponential_smoothing,top1 recovery,stl_real,0.3418,0.4136,0.2862,0.3395,198987.0
triple_exponential_smoothing,raw_sales,raw_sales,0.3671,0.4327,0.3164,0.3661,198987.0
cnn_forecast_3epochs,top1 recovery,stl_real,0.342,0.4055,0.293,0.3408,198987.0
cnn_forecast_3epochs,raw_sales,raw_sales,0.3527,0.4208,0.3001,0.3512,198987.0
cnn_forecast_balanced,top1 recovery,stl_real,0.3422,0.407,0.2921,0.3408,198987.0
cnn_forecast_balanced,raw_sales,raw_sales,0.3534,0.4227,0.2997,0.3516,198987.0
rolling_28d_forecast,top1 recovery,stl_real,0.3458,0.4053,0.2999,0.3451,198987.0
rolling_28d_forecast,raw_sales,raw_sales,0.3637,0.4143,0.3247,0.3639,198987.0
seasonal_naive_forecast,top1 recovery,stl_real,0.3668,0.4615,0.2936,0.3615,198987.0
seasonal_naive_forecast,raw_sales,raw_sales,0.3976,0.483,0.3317,0.3947,198987.0
global_mean_forecast,top1 recovery,per_series_mean,0.3753,0.4348,0.3293,0.375,198987.0
global_mean_forecast,raw_sales,raw_sales,0.4336,0.4508,0.4203,0.4345,198987.0
arima_like_fast,top1 recovery,stl_real,0.4698,0.6102,0.3612,0.459,198987.0
arima_like_fast,raw_sales,raw_sales,0.505,0.6288,0.4093,0.4989,198987.0
arima_like_fast_vectorized,top1 recovery,stl_real,0.4698,0.6102,0.3612,0.459,198987.0
arima_like_fast_vectorized,raw_sales,raw_sales,0.505,0.6288,0.4093,0.4989,198987.0
